,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,fonte,genero,ipca_do_pais,variacao_do_ipca,pib_do_pais,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,continente
1466,1434,2100,Finanças e investimentos,Alexander Nesis,60,Russia,"Metais, bancos, fertilizantes",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
1467,1434,2100,Manufatura,Zugen Ni,66,China,Eletrodomésticos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1468,1434,2100,Construção e engenharia,Florentino Perez,76,Spain,Construção civil,Masc,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781,Europe
1469,1434,2100,Metais e mineração,Victor Pinchuk,62,Ukraine,"Steel pipes, diversified",Masc,281.66,7.9,153781069118,71.6,20.1,45.2,44385155,Europe
1470,1434,2100,Tecnologia,Leonid Radvinsky,40,United States,Comércio eletrônico,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1471,1434,2100,Tecnologia,Raveendran Byju,41,India,Education technology,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1472,1434,2100,Construção e engenharia,P.P. Reddy,65,India,Infraestrutura,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1473,1434,2100,Moda e varejo,Richard Saghian,41,United States,Fast fashion,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1474,1434,2100,Saúde,Shi Yifeng,49,China,Medical cosmetics,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1475,1434,2100,Finanças e investimentos,Thaksin Shinawatra,73,United Arab Emirates,Investimentos,Masc,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529,Asia
1476,1434,2100,Saúde,Timothy Springer,75,United States,Biotecnologia,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1477,1434,2100,Automotivo,Venu Srinivasan,70,India,Two-wheelers,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1478,1434,2100,Moda e varejo,Edward Stack,68,United States,Dick's Sporting Goods,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1479,1434,2100,Alimentos e bebidas,Sun Mengquan & family,73,China,Edible oil,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1480,1434,2100,Finanças e investimentos,Alexander Svetakov,55,Russia,Imóveis,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
1481,1434,2100,Moda e varejo,Torsten Toeller,56,Germany,Alimentos para animais de estimação,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
1482,1434,2100,Alimentos e bebidas,Barbara Tyson,74,United States,Processamento de alimentos,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1483,1434,2100,Alimentos e bebidas,Hamdi Ulukaya,50,United States,Greek yogurt,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1484,1434,2100,Construção e engenharia,Wang Linpeng,54,China,Varejo de móveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1485,1434,2100,Alimentos e bebidas,Wei Ing-Chou,69,China,Alimentos e bebidas,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1487,1434,2100,Alimentos e bebidas,Wei Yin-Heng,64,China,Alimentos e bebidas,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1489,1434,2100,Jogos de azar e cassinos,Elaine Wynn,80,United States,"Cassinos, hotéis",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1490,1434,2100,Automotivo,Xu Xudong & family,53,China,Autopeças,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1492,1434,2100,Manufatura,Yu Qibing & family,57,China,Vidro,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1493,1434,2100,Manufatura,Yuan Fugen & family,72,China,Metal processing,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1494,1434,2100,Manufatura,Zhang Ning & family,49,China,Produtos químicos,Fem,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1495,1434,2100,Saúde,Zhao Tao,57,China,Farmacêutico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1496,1516,2000,Construção e engenharia,Anu Aga,80,India,Engenharia,Fem,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1497,1516,2000,Moda e varejo,Mohamed Al Fayed,94,United Kingdom,"Varejo, investimentos",Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1498,1516,2000,Tecnologia,Andrey Andreev,49,United Kingdom,Online dating,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1500,1516,2000,Tecnologia,Pavel Baudis,62,Czech Republic,Software,Masc,116.48,2.8,246489245495,79.0,14.9,46.1,10669709,Europe
1501,1516,2000,Saúde,Wilhelm Beier & family,66,Germany,Farmacêutico,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
1502,1516,2000,Manufatura,Cao Jianwei,44,China,Semicondutores,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1503,1516,2000,Manufatura,Huwen Chen,52,China,Papelaria,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1504,1516,2000,Diversificado,Phongthep Chiaravanont,71,Thailand,Diversificados,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
1505,1516,2000,Diversificado,Dou Zhenggang,69,China,"Energy, chemicals",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1507,1516,2000,Diversificado,William Franke,85,United States,Low-cost airlines,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1509,1516,2000,Imobiliário,Amy Goldman Fowler,68,United States,Imóveis,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1510,1516,2000,Metais e mineração,John Hancock,47,United Kingdom,Mineração,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1511,1516,2000,Tecnologia,Hu Yangzhong,58,China,Tecnologia,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1513,1516,2000,Mídia e entretenimento,Huang Qiaoling,64,China,Parques de diversão,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1514,1516,2000,Finanças e investimentos,Rajiv Jain,55,United States,Finanças,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1515,1516,2000,Esportes,Michael Jordan,60,United States,"Charlotte Hornets, endossos",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1516,1516,2000,Imobiliário,Diane Kemper,77,United States,Imóveis,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1517,1516,2000,Tecnologia,Shlomo Kramer,57,Israel,"Software, investimentos",Masc,108.15,0.8,395098666122,82.8,23.1,25.3,9053300,Asia
1518,1516,2000,Saúde,Heikki Kyostila,77,Finland,Produtos odontológicos,Masc,112.33,1.0,268761201365,81.7,20.8,36.6,5520314,Europe
1520,1516,2000,Tecnologia,Li Min,57,China,Semicondutores,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1521,1516,2000,Tecnologia,Liang Rubo,40,China,TikTok,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1522,1516,2000,Manufatura,Liang Zhaoxian,58,China,Eletrodomésticos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1523,1516,2000,Energia,Lin Fanlian,61,China,"Energy, real estate",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1524,1516,2000,Manufatura,Aloke Lohia,64,Thailand,Petroquímica,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
1525,1516,2000,Imobiliário,Bill Malhotra,73,Canada,Imóveis,Masc,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981,North America
1526,1516,2000,Finanças e investimentos,Alexander Mamut,63,Israel,Investimentos,Masc,108.15,0.8,395098666122,82.8,23.1,25.3,9053300,Asia
1527,1516,2000,Telecomunicações,Craig McCaw,73,United States,Telecomunicações,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1528,1516,2000,Manufatura,Cunhui Nan,59,China,Power equipment,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1529,1516,2000,Serviços,Tengyun Nie & family,47,China,Logística,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1530,1516,2000,Finanças e investimentos,Oei Hong Leong,75,Singapore,Investimentos,Masc,114.41,0.6,372062527489,83.1,13.1,21.0,5703569,Asia
1531,1516,2000,Metais e mineração,Clive Palmer,69,Australia,Mineração,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
1532,1516,2000,Tecnologia,Matthew Prince,48,United States,Segurança cibernética,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1533,1516,2000,Serviços,Linda Pritzker,69,United States,"Hotéis, investimentos",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1534,1516,2000,Construção e engenharia,P.V. Krishna Reddy,53,India,Infraestrutura,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1535,1516,2000,Metais e mineração,Bianca Rinehart,46,Australia,Mineração,Fem,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
1536,1516,2000,Metais e mineração,Ginia Rinehart,36,Australia,Mineração,Fem,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
1537,1516,2000,Finanças e investimentos,T. Denny Sanford,87,United States,"Bancos, cartões de crédito",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1538,1516,2000,Manufatura,Bhadresh Shah,71,India,Engenharia,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1539,1516,2000,Mídia e entretenimento,Zygmunt Solorz-Zak,66,Poland,TV broadcasting,Masc,114.11,2.2,592164400688,77.6,17.4,40.8,37970874,Europe
1540,1516,2000,Moda e varejo,Sylvia Stroeher,67,Germany,Cosméticos,Fem,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
1541,1516,2000,Tecnologia,Otto Toto Sugiri,69,Indonesia,Centros de dados,Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
1542,1516,2000,Esportes,Larry Tanenbaum,77,Canada,Esportes,Masc,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981,North America
1543,1516,2000,Finanças e investimentos,Wichai Thongtang,76,Thailand,Investimentos,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
1544,1516,2000,Finanças e investimentos,Ion Tiriac,83,Romania,"Bancos, seguros",Masc,123.78,3.8,250077444017,75.4,14.6,20.0,19356544,Europe
1545,1516,2000,Metais e mineração,Hope Welker,37,United States,Mineração,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1546,1516,2000,Manufatura,William Young,82,United States,Plásticos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1547,1516,2000,Tecnologia,Zhang Fan,57,China,Touch screens,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1548,1516,2000,Tecnologia,Shilong Zhang & family,57,China,Semicondutores,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1549,1516,2000,Manufatura,Zhang Wanzhen,73,China,Componentes eletrônicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1550,1516,2000,Tecnologia,Hongfei Zhao,48,China,Software,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1551,1516,2000,Energia,Zhou Jian,46,China,Solar energy equipment,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1552,1516,2000,Saúde,Zhu Yiwen & family,59,China,Saúde,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1553,1575,1900,Diversificado,Roberto Angelini Rossi,74,Chile,"Silvicultura, mineração",Masc,131.91,2.6,282318159745,80.0,18.2,34.0,18952038,South America
1554,1575,1900,Energia,Mika Anttonen,56,Finland,Petróleo e gás,Masc,112.33,1.0,268761201365,81.7,20.8,36.6,5520314,Europe
1555,1575,1900,Esportes,David Blitzer,53,United States,Esportes,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1556,1575,1900,Finanças e investimentos,Julio Bozano,87,Brazil,Bancos,Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
1557,1575,1900,Energia,Nikolai Buinov,55,Russia,"Petróleo, gás",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
1558,1575,1900,Moda e varejo,Nicola Bulgari,82,Italy,Bens de luxo,Masc,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
1559,1575,1900,Moda e varejo,"Howard Butt, III. & family",71,United States,Supermercados,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1560,1575,1900,Moda e varejo,Jianxing Che,56,China,Varejo de móveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1561,1575,1900,Manufatura,Huxiong Chen,52,China,Papelaria,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1562,1575,1900,Energia,Chen Qiongxiang,59,China,Baterias,Fem,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1563,1575,1900,Tecnologia,Chen Zhisong,57,China,Communication equipment,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1564,1575,1900,Diversificado,Manas Chiaravanond,74,Thailand,Diversificados,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
1565,1575,1900,Diversificado,Prathip Chiravanond,74,Thailand,Diversificados,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
1566,1575,1900,Alimentos e bebidas,Alexandra Daitch,60,United States,Cargill,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1567,1575,1900,Alimentos e bebidas,Sol Daurella,57,Spain,Engarrafadora da Coca-Cola,Fem,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781,Europe
1568,1575,1900,Esportes,Mark Davis,67,United States,Las Vegas Raiders,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1569,1575,1900,Finanças e investimentos,James Dinan,63,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1570,1575,1900,Automotivo,Fritz Draexlmaier,65,Germany,Autopeças,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
1571,1575,1900,Diversificado,Bulent Eczacibasi,73,Turkey,"Produtos farmacêuticos, diversificados",Masc,234.44,15.2,754411708203,77.4,17.9,42.3,83429615,Asia
1572,1575,1900,Diversificado,Faruk Eczacibasi,68,Turkey,"Produtos farmacêuticos, diversificados",Masc,234.44,15.2,754411708203,77.4,17.9,42.3,83429615,Asia
1573,1575,1900,Diversificado,Eduardo Eurnekian,90,Argentina,"Airports, investments",Masc,232.75,53.5,449663446954,76.5,10.1,106.3,44938712,South America
1575,1575,1900,Moda e varejo,Guo Zhenyu & family,59,China,Cosméticos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1576,1575,1900,Manufatura,Surjit Kumar Gupta,81,India,Equipamentos elétricos,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1577,1575,1900,Diversificado,Caroline Hagen Kjos,39,Switzerland,Conglomerado,Fem,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
1578,1575,1900,Finanças e investimentos,Roberto Hernandez Ramirez,81,Mexico,"Bancos, investimentos",Masc,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024,North America
1579,1575,1900,Tecnologia,Reid Hoffman,55,United States,LinkedIn,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1580,1575,1900,Manufatura,Hu Rongda & family,64,China,Produtos químicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1581,1575,1900,Imobiliário,"B. Wayne Hughes, Jr.",63,United States,Storage facilities,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1583,1575,1900,Finanças e investimentos,Scott Kapnick,64,United States,Patrimônio privado,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1584,1575,1900,Finanças e investimentos,Richard Kayne,77,United States,Investimentos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1585,1575,1900,Finanças e investimentos,Dominika Kulczyk,45,United Kingdom,Diversificados,Fem,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1586,1575,1900,Finanças e investimentos,Edward Lampert,60,United States,Sears,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1587,1575,1900,Diversificado,Somsri Lamsam,74,Thailand,Diversificados,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
1588,1575,1900,Alimentos e bebidas,James Leprino,85,United States,Queijo,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1589,1575,1900,Imobiliário,David Lichtenstein,61,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1590,1575,1900,Imobiliário,Lin Dingqiang & family,56,China,Imóveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1591,1575,1900,Alimentos e bebidas,Sarah MacMillan,69,United States,Cargill,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1592,1575,1900,Telecomunicações,Strive Masiyiwa,62,United Kingdom,Telecomunicações,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1594,1575,1900,Tecnologia,Simon Nixon,55,United Kingdom,Price comparison website,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1595,1575,1900,Alimentos e bebidas,Kentaro Ogawa,74,Japan,Restaurantes,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
1596,1575,1900,Manufatura,Ajay Parekh,65,India,Adesivos,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1597,1575,1900,Manufatura,Narendrakumar Parekh,84,India,Adesivos,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1598,1575,1900,Finanças e investimentos,Jennifer Pritzker,72,United States,"Hotéis, investimentos",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1599,1575,1900,Moda e varejo,G. Rajendran,80,India,Jewellery,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1600,1575,1900,Manufatura,Ren Jianhua,66,China,Utensílios de cozinha,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1601,1575,1900,Finanças e investimentos,Larry Robbins,53,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1602,1575,1900,Construção e engenharia,Dwight Schar,81,United States,"Homebuilding, NFL team",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1603,1575,1900,Energia,Shao Jianxiong,59,China,Photovoltaics,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1604,1575,1900,Manufatura,Qinxiang Shao,68,China,Diversificados,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1605,1575,1900,Tecnologia,Hua Shen,60,China,Semicondutores,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1607,1575,1900,Finanças e investimentos,Peter Sondakh,73,Indonesia,Investimentos,Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
1608,1575,1900,Alimentos e bebidas,Lucy Stitzer,63,United States,Cargill,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1609,1575,1900,Diversificado,Elizabeth Sy,70,Philippines,Diversificados,Fem,129.61,2.5,376795508680,71.1,14.0,43.1,108116615,Asia
1610,1575,1900,Manufatura,Hermanto Tanoko,60,Indonesia,Tintas,Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
1611,1575,1900,Construção e engenharia,Mehmet Sinan Tara,64,Turkey,Construção civil,Masc,234.44,15.2,754411708203,77.4,17.9,42.3,83429615,Asia
1612,1575,1900,Moda e varejo,Masateru Uno & family,76,Japan,Farmácias,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
1613,1575,1900,Energia,Vardis Vardinoyannis & family,90,Greece,Oil and gas,Masc,101.87,0.2,209852761469,81.3,26.2,51.9,10716322,Europe
1614,1575,1900,Imobiliário,Jitendra Virwani,57,India,Imóveis,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1615,1575,1900,Imobiliário,Wang Chaobin,67,China,Imóveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1616,1575,1900,Moda e varejo,Wang Ren-sheng,91,China,Varejo,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1617,1575,1900,Alimentos e bebidas,Charlotte Colket Weber,80,United States,Sopa Campbell,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1618,1575,1900,Saúde,Xie Juhua & family,72,China,Farmacêutico,Fem,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1619,1575,1900,Manufatura,Chuanhua Xu & family,88,China,"Chemicals, logistics",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1620,1575,1900,Finanças e investimentos,Gavril Yushvaev & family,65,Israel,"Precious metals, real estate",Masc,108.15,0.8,395098666122,82.8,23.1,25.3,9053300,Asia
1621,1575,1900,Diversificado,Zhang Hongwei,68,China,"Oil, banking",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1622,1575,1900,Manufatura,Anita Zucker,71,United States,Produtos químicos,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1623,1647,1800,Tecnologia,Cameron Adams,43,Australia,Software,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
1624,1647,1800,Moda e varejo,Will Adderley,51,United Kingdom,Móveis para casa,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1625,1647,1800,Diversificado,Faisal Bin Qassim Al Thani,75,Qatar,"Hotels, diversified",Masc,115.38,-0.7,183466208791,80.1,14.7,11.3,2832067,Asia
1626,1647,1800,Esportes,Leslie Alexander,79,United States,Sports team,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1627,1647,1800,Imobiliário,Masaaki Arai,57,Japan,Home sales,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
1628,1647,1800,Moda e varejo,Sabrina Benetton,49,Italy,"Varejo de moda, investimentos",Fem,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
1629,1647,1800,Tecnologia,Sanjeev Bikhchandani,59,India,Internet,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1630,1647,1800,Finanças e investimentos,O. Francis Biondi,58,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1631,1647,1800,Energia,Alejandro Bulgheroni,78,Uruguay,Petróleo e gás,Masc,202.92,7.9,56045912952,77.8,20.1,41.8,3461734,South America
1632,1647,1800,Alimentos e bebidas,R.G. Chandramogan,74,India,Laticínios,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1633,1647,1800,Diversificado,Binod Chaudhary,67,Nepal,Diversificados,Masc,188.73,5.6,30641380604,70.5,20.7,41.8,28608710,Asia
1634,1647,1800,Tecnologia,Parker Conrad,42,United States,Software,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1635,1647,1800,Tecnologia,Tim Cook,62,United States,Apple,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1636,1647,1800,Finanças e investimentos,Mark Coombs,62,United Kingdom,Finanças,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
1637,1647,1800,Mídia e entretenimento,John de Mol,68,Netherlands,TV programs,Masc,115.91,2.6,909070395161,81.8,23.0,41.2,17332850,Europe
1638,1647,1800,Construção e engenharia,D. Leopoldo Del Pino,60,Spain,Construção civil,Masc,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781,Europe
1639,1647,1800,Tecnologia,Diao Zhizhong,59,China,Software,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1640,1647,1800,Saúde,Robert Duggan,78,United States,Farmacêutico,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1641,1647,1800,Esportes,James France,78,United States,"Nascar, racing",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1642,1647,1800,Saúde,Phillip Frost,86,United States,Farmacêutico,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1643,1647,1800,Finanças e investimentos,Jayme Garfinkel & family,77,Brazil,Seguros,Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
1644,1647,1800,Alimentos e bebidas,Christopher Goldsbury,80,United States,Salsa,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1645,1647,1800,Saúde,Yusuf Hamied,86,India,Farmacêutico,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
1646,1647,1800,Finanças e investimentos,Brian Higgins,58,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1647,1647,1800,Imobiliário,Wei Huang,63,China,Imóveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1648,1647,1800,Automotivo,Yintai Jiang & family,72,China,Autopeças,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1649,1647,1800,Saúde,Lei Jin,57,China,Farmacêutico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1650,1647,1800,Saúde,Jin Lei & family,68,China,Equipamentos médicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
1651,1647,1800,Tecnologia,Valentin Kipyatkov,46,Cyprus,Software,Masc,102.51,0.3,24564647935,80.8,24.5,22.4,1198575,Europe
1652,1647,1800,Diversificado,Koo Kwang-mo,45,South Korea,LG,Masc,115.16,0.4,2029000000000,82.6,15.6,33.2,51709098,Asia
1653,1647,1800,Tecnologia,George Kurtz,52,United States,Software de segurança,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1654,1647,1800,Esportes,Joe Lacob,67,United States,Golden State Warriors,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1655,1647,1800,Tecnologia,Joe Lau,33,United States,"Blockchain, technology",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
1656,1647,1800,Diversificado,Louise Lindh,43,Sweden,Investimentos,Fem,110.51,1.8,530832908738,82.5,27.9,49.1,10285453,Europe
1657,1647,1800,Metais e mineração,Luo Yangyong & family,47,China,Mineração,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
