,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,city_of_residence,fonte,citizenship,genero,birth_date,last_name,first_name,residence_state,residence_region,birth_year,birth_month,birth_day,ipca_do_pais,variacao_do_ipca,pib_do_pais,g_tertiary_ed_enroll,g_primary_ed_enroll,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,country_lat,country_long,continente
1501,1516,2000,Saúde,Wilhelm Beier & family,66,Germany,Unknown,Farmacêutico,Germany,Masc,1956-04-21,Beier,Wilhelm,No subdivisions info,No subdivisions info,1956,4,21,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
1502,1516,2000,Manufatura,Cao Jianwei,44,China,Shangyu,Semicondutores,China,Masc,1978-05-30,Cao,Jianwei,No subdivisions info,No subdivisions info,1978,5,30,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1503,1516,2000,Manufatura,Huwen Chen,52,China,Shanghai,Papelaria,China,Masc,1970-07-01,Chen,Huwen,No subdivisions info,No subdivisions info,1970,7,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1504,1516,2000,Diversificado,Phongthep Chiaravanont,71,Thailand,Bangkok,Diversificados,Thailand,Masc,1952-01-01,Chiaravanont,Phongthep,No subdivisions info,No subdivisions info,1952,1,1,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,Asia
1505,1516,2000,Diversificado,Dou Zhenggang,69,China,Hangzhou,"Energy, chemicals",China,Masc,1953-05-21,Dou,Zhenggang,No subdivisions info,No subdivisions info,1953,5,21,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1507,1516,2000,Diversificado,William Franke,85,United States,Houston,Low-cost airlines,United States,Masc,1937-04-15,Franke,William,Texas,South,1937,4,15,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1509,1516,2000,Imobiliário,Amy Goldman Fowler,68,United States,Rhinebeck,Imóveis,United States,Fem,1954-04-19,Goldman Fowler,Amy,New York,Northeast,1954,4,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1510,1516,2000,Metais e mineração,John Hancock,47,United Kingdom,London,Mineração,Australia,Masc,1976-01-02,Hancock,John,No subdivisions info,No subdivisions info,1976,1,2,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
1511,1516,2000,Tecnologia,Hu Yangzhong,58,China,Hangzhou,Tecnologia,China,Masc,1965-03-06,Hu,Yangzhong,No subdivisions info,No subdivisions info,1965,3,6,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1513,1516,2000,Mídia e entretenimento,Huang Qiaoling,64,China,Hangzhou,Parques de diversão,China,Masc,1958-11-15,Huang,Qiaoling,No subdivisions info,No subdivisions info,1958,11,15,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1514,1516,2000,Finanças e investimentos,Rajiv Jain,55,United States,Fort Lauderdale,Finanças,United States,Masc,1968-01-27,Jain,Rajiv,Florida,South,1968,1,27,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1515,1516,2000,Esportes,Michael Jordan,60,United States,Jupiter,"Charlotte Hornets, endossos",United States,Masc,1963-02-17,Jordan,Michael,Florida,South,1963,2,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1516,1516,2000,Imobiliário,Diane Kemper,77,United States,New York,Imóveis,United States,Fem,1945-07-21,Kemper,Diane,New York,Northeast,1945,7,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1517,1516,2000,Tecnologia,Shlomo Kramer,57,Israel,Tel Aviv,"Software, investimentos",Israel,Masc,1966-03-14,Kramer,Shlomo,No subdivisions info,No subdivisions info,1966,3,14,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612,Asia
1518,1516,2000,Saúde,Heikki Kyostila,77,Finland,Helsinki,Produtos odontológicos,Finland,Masc,1946-01-19,Kyostila,Heikki,No subdivisions info,No subdivisions info,1946,1,19,112.33,1.0,268761201365,88.2,100.2,81.7,20.8,36.6,5520314,61.92411,25.748151,Europe
1520,1516,2000,Tecnologia,Li Min,57,China,Fuzhou,Semicondutores,China,Masc,1965-12-26,Li,Min,No subdivisions info,No subdivisions info,1965,12,26,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1521,1516,2000,Tecnologia,Liang Rubo,40,China,Beijing,TikTok,China,Masc,1983-01-01,Liang,Rubo,No subdivisions info,No subdivisions info,1983,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1522,1516,2000,Manufatura,Liang Zhaoxian,58,China,Foshan,Eletrodomésticos,China,Masc,1965-01-01,Liang,Zhaoxian,No subdivisions info,No subdivisions info,1965,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1523,1516,2000,Energia,Lin Fanlian,61,China,Linyi,"Energy, real estate",China,Masc,1961-06-01,Lin,Fanlian,No subdivisions info,No subdivisions info,1961,6,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1524,1516,2000,Manufatura,Aloke Lohia,64,Thailand,Bangkok,Petroquímica,India,Masc,1958-11-27,Lohia,Aloke,No subdivisions info,No subdivisions info,1958,11,27,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,Asia
1525,1516,2000,Imobiliário,Bill Malhotra,73,Canada,Ottawa,Imóveis,Canada,Masc,1949-09-08,Malhotra,Bill,No subdivisions info,No subdivisions info,1949,9,8,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,North America
1526,1516,2000,Finanças e investimentos,Alexander Mamut,63,Israel,Tel Aviv,Investimentos,Russia,Masc,1960-01-29,Mamut,Alexander,No subdivisions info,No subdivisions info,1960,1,29,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612,Asia
1527,1516,2000,Telecomunicações,Craig McCaw,73,United States,Hunts Point,Telecomunicações,United States,Masc,1949-08-11,McCaw,Craig,Washington,West,1949,8,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1528,1516,2000,Manufatura,Cunhui Nan,59,China,Wenzhou,Power equipment,China,Masc,1963-07-09,Nan,Cunhui,No subdivisions info,No subdivisions info,1963,7,9,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1529,1516,2000,Serviços,Tengyun Nie & family,47,China,Shanghai,Logística,China,Masc,1976-01-24,Nie,Tengyun,No subdivisions info,No subdivisions info,1976,1,24,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1530,1516,2000,Finanças e investimentos,Oei Hong Leong,75,Singapore,Singapore,Investimentos,Singapore,Masc,1948-03-21,Oei,Hong Leong,No subdivisions info,No subdivisions info,1948,3,21,114.41,0.6,372062527489,84.8,100.6,83.1,13.1,21.0,5703569,1.352083,103.819836,Asia
1531,1516,2000,Metais e mineração,Clive Palmer,69,Australia,Brisbane,Mineração,Australia,Masc,1954-03-26,Palmer,Clive,No subdivisions info,No subdivisions info,1954,3,26,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
1532,1516,2000,Tecnologia,Matthew Prince,48,United States,Park City,Segurança cibernética,United States,Masc,1975-01-01,Prince,Matthew,Utah,West,1975,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1533,1516,2000,Serviços,Linda Pritzker,69,United States,Missoula,"Hotéis, investimentos",United States,Fem,1953-09-14,Pritzker,Linda,Montana,West,1953,9,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1534,1516,2000,Construção e engenharia,P.V. Krishna Reddy,53,India,Hyderabad,Infraestrutura,India,Masc,1969-06-30,Reddy,P.V. Krishna,No subdivisions info,No subdivisions info,1969,6,30,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
1535,1516,2000,Metais e mineração,Bianca Rinehart,46,Australia,Brisbane,Mineração,Australia,Fem,1977-03-19,Rinehart,Bianca,No subdivisions info,No subdivisions info,1977,3,19,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
1536,1516,2000,Metais e mineração,Ginia Rinehart,36,Australia,Sydney,Mineração,Australia,Fem,1986-09-06,Rinehart,Ginia,No subdivisions info,No subdivisions info,1986,9,6,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
1537,1516,2000,Finanças e investimentos,T. Denny Sanford,87,United States,Sioux Falls,"Bancos, cartões de crédito",United States,Masc,1935-12-23,Sanford,T. Denny,South Dakota,Midwest,1935,12,23,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1538,1516,2000,Manufatura,Bhadresh Shah,71,India,Ahmedabad,Engenharia,India,Masc,1951-10-07,Shah,Bhadresh,No subdivisions info,No subdivisions info,1951,10,7,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
1539,1516,2000,Mídia e entretenimento,Zygmunt Solorz-Zak,66,Poland,Warsaw,TV broadcasting,Poland,Masc,1956-08-04,Solorz-Zak,Zygmunt,No subdivisions info,No subdivisions info,1956,8,4,114.11,2.2,592164400688,67.8,100.0,77.6,17.4,40.8,37970874,51.919438,19.145136,Europe
1540,1516,2000,Moda e varejo,Sylvia Stroeher,67,Germany,Darmstadt,Cosméticos,Germany,Fem,1955-05-30,Stroeher,Sylvia,No subdivisions info,No subdivisions info,1955,5,30,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
1541,1516,2000,Tecnologia,Otto Toto Sugiri,69,Indonesia,Jakarta,Centros de dados,Indonesia,Masc,1953-09-23,Sugiri,Otto Toto,No subdivisions info,No subdivisions info,1953,9,23,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
1542,1516,2000,Esportes,Larry Tanenbaum,77,Canada,Toronto,Esportes,Canada,Masc,1945-07-01,Tanenbaum,Larry,No subdivisions info,No subdivisions info,1945,7,1,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,North America
1543,1516,2000,Finanças e investimentos,Wichai Thongtang,76,Thailand,Bangkok,Investimentos,Thailand,Masc,1947-01-01,Thongtang,Wichai,No subdivisions info,No subdivisions info,1947,1,1,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,Asia
1544,1516,2000,Finanças e investimentos,Ion Tiriac,83,Romania,Bucharest,"Bancos, seguros",Romania,Masc,1939-05-09,Tiriac,Ion,No subdivisions info,No subdivisions info,1939,5,9,123.78,3.8,250077444017,49.4,85.2,75.4,14.6,20.0,19356544,45.943161,24.96676,Europe
1545,1516,2000,Metais e mineração,Hope Welker,37,United States,New York,Mineração,Australia,Fem,1985-08-13,Welker,Hope,New York,Northeast,1985,8,13,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1546,1516,2000,Manufatura,William Young,82,United States,Ypsilanti,Plásticos,United States,Masc,1941-01-01,Young,William,Michigan,Midwest,1941,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1547,1516,2000,Tecnologia,Zhang Fan,57,China,Shenzhen,Touch screens,China,Masc,1965-12-29,Zhang,Fan,No subdivisions info,No subdivisions info,1965,12,29,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1548,1516,2000,Tecnologia,Shilong Zhang & family,57,China,Beijing,Semicondutores,China,Masc,1966-01-01,Zhang,Shilong,No subdivisions info,No subdivisions info,1966,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1549,1516,2000,Manufatura,Zhang Wanzhen,73,China,Chaozhou,Componentes eletrônicos,China,Masc,1949-12-01,Zhang,Wanzhen,No subdivisions info,No subdivisions info,1949,12,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1550,1516,2000,Tecnologia,Hongfei Zhao,48,China,Beijing,Software,China,Masc,1974-06-01,Zhao,Hongfei,No subdivisions info,No subdivisions info,1974,6,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1551,1516,2000,Energia,Zhou Jian,46,China,Shenzhen,Solar energy equipment,China,Masc,1976-07-01,Zhou,Jian,No subdivisions info,No subdivisions info,1976,7,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1552,1516,2000,Saúde,Zhu Yiwen & family,59,China,Shanghai,Saúde,China,Masc,1964-01-01,Zhu,Yiwen,No subdivisions info,No subdivisions info,1964,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1553,1575,1900,Diversificado,Roberto Angelini Rossi,74,Chile,Santiago,"Silvicultura, mineração",Chile,Masc,1948-07-30,Angelini Rossi,Roberto,No subdivisions info,No subdivisions info,1948,7,30,131.91,2.6,282318159745,88.5,101.4,80.0,18.2,34.0,18952038,-35.675147,-71.542969,South America
1554,1575,1900,Energia,Mika Anttonen,56,Finland,Helsinki,Petróleo e gás,Finland,Masc,1966-12-18,Anttonen,Mika,No subdivisions info,No subdivisions info,1966,12,18,112.33,1.0,268761201365,88.2,100.2,81.7,20.8,36.6,5520314,61.92411,25.748151,Europe
1555,1575,1900,Esportes,David Blitzer,53,United States,New York,Esportes,United States,Masc,1969-09-07,Blitzer,David,New York,Northeast,1969,9,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1556,1575,1900,Finanças e investimentos,Julio Bozano,87,Brazil,Rio de Janeiro,Bancos,Brazil,Masc,1936-02-01,Bozano,Julio,No subdivisions info,No subdivisions info,1936,2,1,167.4,3.7,1839758040766,51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528,South America
1557,1575,1900,Energia,Nikolai Buinov,55,Russia,Irkutsk,"Petróleo, gás",Russia,Masc,1967-07-09,Buinov,Nikolai,No subdivisions info,No subdivisions info,1967,7,9,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
1558,1575,1900,Moda e varejo,Nicola Bulgari,82,Italy,Rome,Bens de luxo,Italy,Masc,1941-01-16,Bulgari,Nicola,No subdivisions info,No subdivisions info,1941,1,16,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,Europe
1559,1575,1900,Moda e varejo,"Howard Butt, III. & family",71,United States,San Antonio,Supermercados,United States,Masc,1952-04-04,Butt,Howard,Texas,South,1952,4,4,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1560,1575,1900,Moda e varejo,Jianxing Che,56,China,Shanghai,Varejo de móveis,China,Masc,1966-07-18,Che,Jianxing,No subdivisions info,No subdivisions info,1966,7,18,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1561,1575,1900,Manufatura,Huxiong Chen,52,China,Shanghai,Papelaria,China,Masc,1970-07-01,Chen,Huxiong,No subdivisions info,No subdivisions info,1970,7,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1562,1575,1900,Energia,Chen Qiongxiang,59,China,Ningde,Baterias,China,Fem,1964-01-01,Chen,Qiongxiang,No subdivisions info,No subdivisions info,1964,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1563,1575,1900,Tecnologia,Chen Zhisong,57,China,Xiamen,Communication equipment,China,Masc,1966-01-07,Chen,Zhisong,No subdivisions info,No subdivisions info,1966,1,7,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1564,1575,1900,Diversificado,Manas Chiaravanond,74,Thailand,Bangkok,Diversificados,Thailand,Masc,1949-01-01,Chiaravanond,Manas,No subdivisions info,No subdivisions info,1949,1,1,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,Asia
1565,1575,1900,Diversificado,Prathip Chiravanond,74,Thailand,Bangkok,Diversificados,Thailand,Masc,1948-10-21,Chiravanond,Prathip,No subdivisions info,No subdivisions info,1948,10,21,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,Asia
1566,1575,1900,Alimentos e bebidas,Alexandra Daitch,60,United States,Old Lyme,Cargill,United States,Fem,1963-01-01,Daitch,Alexandra,Connecticut,Northeast,1963,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1567,1575,1900,Alimentos e bebidas,Sol Daurella,57,Spain,Madrid,Engarrafadora da Coca-Cola,Spain,Fem,1966-01-01,Daurella,Sol,No subdivisions info,No subdivisions info,1966,1,1,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47.0,47076781,40.463667,-3.74922,Europe
1568,1575,1900,Esportes,Mark Davis,67,United States,Henderson,Las Vegas Raiders,United States,Masc,1955-05-18,Davis,Mark,Nevada,West,1955,5,18,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1569,1575,1900,Finanças e investimentos,James Dinan,63,United States,North Salem,Fundos de hedge,United States,Masc,1959-05-22,Dinan,James,New York,Northeast,1959,5,22,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1570,1575,1900,Automotivo,Fritz Draexlmaier,65,Germany,Landshut,Autopeças,Germany,Masc,1958-01-01,Draexlmaier,Fritz,No subdivisions info,No subdivisions info,1958,1,1,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
1571,1575,1900,Diversificado,Bulent Eczacibasi,73,Turkey,Istanbul,"Produtos farmacêuticos, diversificados",Turkey,Masc,1949-12-25,Eczacibasi,Bulent,No subdivisions info,No subdivisions info,1949,12,25,234.44,15.2,754411708203,23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322,Asia
1572,1575,1900,Diversificado,Faruk Eczacibasi,68,Turkey,Istanbul,"Produtos farmacêuticos, diversificados",Turkey,Masc,1954-06-15,Eczacibasi,Faruk,No subdivisions info,No subdivisions info,1954,6,15,234.44,15.2,754411708203,23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322,Asia
1573,1575,1900,Diversificado,Eduardo Eurnekian,90,Argentina,Buenos Aires,"Airports, investments",Argentina,Masc,1932-12-04,Eurnekian,Eduardo,No subdivisions info,No subdivisions info,1932,12,4,232.75,53.5,449663446954,90.0,109.7,76.5,10.1,106.3,44938712,-38.416097,-63.616672,South America
1575,1575,1900,Moda e varejo,Guo Zhenyu & family,59,China,Kunming,Cosméticos,Canada,Masc,1963-11-01,Guo,Zhenyu,No subdivisions info,No subdivisions info,1963,11,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1576,1575,1900,Manufatura,Surjit Kumar Gupta,81,India,Delhi,Equipamentos elétricos,India,Masc,1942-01-13,Gupta,Surjit Kumar,No subdivisions info,No subdivisions info,1942,1,13,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
1577,1575,1900,Diversificado,Caroline Hagen Kjos,39,Switzerland,Wollerau,Conglomerado,Norway,Fem,1984-01-01,Hagen Kjos,Caroline,No subdivisions info,No subdivisions info,1984,1,1,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
1578,1575,1900,Finanças e investimentos,Roberto Hernandez Ramirez,81,Mexico,Mexico City,"Bancos, investimentos",Mexico,Masc,1942-03-24,Hernandez Ramirez,Roberto,No subdivisions info,No subdivisions info,1942,3,24,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024,23.634501,-102.552784,North America
1579,1575,1900,Tecnologia,Reid Hoffman,55,United States,Palo Alto,LinkedIn,United States,Masc,1967-08-05,Hoffman,Reid,California,West,1967,8,5,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1580,1575,1900,Manufatura,Hu Rongda & family,64,China,Jinhua,Produtos químicos,China,Masc,1959-01-01,Hu,Rongda,No subdivisions info,No subdivisions info,1959,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1581,1575,1900,Imobiliário,"B. Wayne Hughes, Jr.",63,United States,Jackson,Storage facilities,United States,Masc,1959-05-27,Hughes,B. Wayne,Wyoming,South,1959,5,27,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1583,1575,1900,Finanças e investimentos,Scott Kapnick,64,United States,Naples,Patrimônio privado,United States,Masc,1959-02-09,Kapnick,Scott,Florida,South,1959,2,9,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1584,1575,1900,Finanças e investimentos,Richard Kayne,77,United States,Santa Monica,Investimentos,United States,Masc,1946-01-01,Kayne,Richard,California,West,1946,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1585,1575,1900,Finanças e investimentos,Dominika Kulczyk,45,United Kingdom,London,Diversificados,Poland,Fem,1977-07-30,Kulczyk,Dominika,No subdivisions info,No subdivisions info,1977,7,30,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
1586,1575,1900,Finanças e investimentos,Edward Lampert,60,United States,Miami Beach,Sears,United States,Masc,1962-07-19,Lampert,Edward,Florida,South,1962,7,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1587,1575,1900,Diversificado,Somsri Lamsam,74,Thailand,Bangkok,Diversificados,Thailand,Masc,1949-01-01,Lamsam,Somsri,No subdivisions info,No subdivisions info,1949,1,1,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541,Asia
1588,1575,1900,Alimentos e bebidas,James Leprino,85,United States,Indian Hills,Queijo,United States,Masc,1937-11-22,Leprino,James,Colorado,West,1937,11,22,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1589,1575,1900,Imobiliário,David Lichtenstein,61,United States,Monsey,Imóveis,United States,Masc,1961-11-21,Lichtenstein,David,New York,Northeast,1961,11,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1590,1575,1900,Imobiliário,Lin Dingqiang & family,56,China,Beijing,Imóveis,Hong Kong,Masc,1966-10-01,Lin,Dingqiang,No subdivisions info,No subdivisions info,1966,10,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1591,1575,1900,Alimentos e bebidas,Sarah MacMillan,69,United States,Los Angeles,Cargill,United States,Fem,1954-01-01,MacMillan,Sarah,California,West,1954,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1592,1575,1900,Telecomunicações,Strive Masiyiwa,62,United Kingdom,London,Telecomunicações,Zimbabwe,Masc,1961-01-29,Masiyiwa,Strive,No subdivisions info,No subdivisions info,1961,1,29,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
1594,1575,1900,Tecnologia,Simon Nixon,55,United Kingdom,"St. Brelade, Jersey",Price comparison website,United Kingdom,Masc,1967-08-01,Nixon,Simon,No subdivisions info,No subdivisions info,1967,8,1,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
1595,1575,1900,Alimentos e bebidas,Kentaro Ogawa,74,Japan,Tokyo,Restaurantes,Japan,Masc,1948-07-01,Ogawa,Kentaro,No subdivisions info,No subdivisions info,1948,7,1,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
1596,1575,1900,Manufatura,Ajay Parekh,65,India,Mumbai,Adesivos,India,Masc,1957-06-23,Parekh,Ajay,No subdivisions info,No subdivisions info,1957,6,23,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
1597,1575,1900,Manufatura,Narendrakumar Parekh,84,India,Mumbai,Adesivos,India,Masc,1938-04-17,Parekh,Narendrakumar,No subdivisions info,No subdivisions info,1938,4,17,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
1598,1575,1900,Finanças e investimentos,Jennifer Pritzker,72,United States,Chicago,"Hotéis, investimentos",United States,Fem,1950-08-13,Pritzker,Jennifer,Illinois,Midwest,1950,8,13,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1599,1575,1900,Moda e varejo,G. Rajendran,80,India,Chennai,Jewellery,India,Masc,1942-10-05,Rajendran,G.,No subdivisions info,No subdivisions info,1942,10,5,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
1600,1575,1900,Manufatura,Ren Jianhua,66,China,Hangzhou,Utensílios de cozinha,China,Masc,1956-08-01,Ren,Jianhua,No subdivisions info,No subdivisions info,1956,8,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
1601,1575,1900,Finanças e investimentos,Larry Robbins,53,United States,Alpine,Fundos de hedge,United States,Masc,1969-10-21,Robbins,Larry,New Jersey,Northeast,1969,10,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1602,1575,1900,Construção e engenharia,Dwight Schar,81,United States,Palm Beach,"Homebuilding, NFL team",United States,Masc,1942-02-08,Schar,Dwight,Florida,South,1942,2,8,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
1603,1575,1900,Energia,Shao Jianxiong,59,China,Hangzhou,Photovoltaics,China,Masc,1964-01-01,Shao,Jianxiong,No subdivisions info,No subdivisions info,1964,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
